Era,Feature,Base,Lag,r,p,sig,n,target
Full,finbert_max,finbert_max,0,0.4544,0.0006,***,53,MRO_diff
Full,finbert_IS_max,finbert_IS_max,0,0.465,0.0005,***,53,MRO_diff
Full,roberta_IS_max,roberta_IS_max,0,0.4092,0.0023,**,53,MRO_diff
Full,finbert_MP_mean,finbert_MP_mean,0,0.3367,0.0137,*,53,MRO_diff
Full,roberta_IS_EP_max,roberta_IS_EP_max,0,0.4559,0.0006,***,53,MRO_diff
Full,finbert_QA_MP_mean,finbert_QA_MP_mean,0,0.2723,0.0485,*,53,MRO_diff
Full,finbert_max:lag1,finbert_max,1,0.4168,0.0019,**,53,MRO_diff
Full,finbert_max:lag2,finbert_max,2,0.5753,0.0,***,53,MRO_diff
Full,finbert_max:lag3,finbert_max,3,0.4082,0.0024,**,53,MRO_diff
Full,finbert_max:lag4,finbert_max,4,0.4292,0.0013,**,53,MRO_diff
Full,finbert_max:lag5,finbert_max,5,0.4851,0.0003,***,52,MRO_diff
Full,finbert_max:lag6,finbert_max,6,0.1544,0.2746,,52,MRO_diff
Full,finbert_max:lag7,finbert_max,7,0.3183,0.0215,*,52,MRO_diff
Full,finbert_max:lag8,finbert_max,8,0.3846,0.0049,**,52,MRO_diff
Full,finbert_max:lag9,finbert_max,9,-0.0441,0.7564,,52,MRO_diff
Full,finbert_max:lag10,finbert_max,10,0.076,0.5923,,52,MRO_diff
Full,finbert_max:lag11,finbert_max,11,-0.0409,0.7755,,51,MRO_diff
Full,finbert_max:lag12,finbert_max,12,-0.1111,0.4377,,51,MRO_diff
Full,finbert_max:lag13,finbert_max,13,-0.0861,0.5479,,51,MRO_diff
Full,finbert_max:lag14,finbert_max,14,-0.1763,0.2206,,50,MRO_diff
Full,finbert_max:lag15,finbert_max,15,0.0347,0.8131,,49,MRO_diff
Full,finbert_IS_max:lag1,finbert_IS_max,1,0.4392,0.001,**,53,MRO_diff
Full,finbert_IS_max:lag2,finbert_IS_max,2,0.6128,0.0,***,53,MRO_diff
Full,finbert_IS_max:lag3,finbert_IS_max,3,0.4501,0.0007,***,53,MRO_diff
Full,finbert_IS_max:lag4,finbert_IS_max,4,0.472,0.0004,***,53,MRO_diff
Full,finbert_IS_max:lag5,finbert_IS_max,5,0.4953,0.0002,***,52,MRO_diff
Full,finbert_IS_max:lag6,finbert_IS_max,6,0.2349,0.0937,,52,MRO_diff
