Feature,Full,Full_composite,Hiking,Pre-ZLB,ZLB
finbert_QA_MP_mean:lag4,0.5407,0.3772,0.5663,0.5481,0.2051
finbert_QA_mean:lag4,0.5467,0.3682,0.6033,0.6697,0.1695
finbert_MP_mean:lag4,0.5479,0.3587,0.6245,0.7139,0.2231
finbert_QA_EP_min:lag6,0.4888,0.3574,0.2658,0.7063,0.1949
finbert_QA_min:lag4,0.423,0.3524,0.4185,0.4977,0.2216
finbert_mean:lag4,0.5486,0.3495,0.6126,0.8473,0.1861
roberta_EP_mean:lag10,0.4203,0.3411,0.6663,0.4346,0.2346
roberta_IS_MP_min:lag1,-0.2831,-0.3243,-0.3634,-0.2919,-0.2556
finbert_QA_MP_min:lag4,0.3864,0.3105,0.3393,0.4884,0.2019
roberta_QA_EP_min:lag10,0.1642,0.3023,0.2904,0.1938,0.3924
finbert_QA_EP_mean:lag1,0.3582,0.2985,0.0397,0.6072,0.2182
finbert_QA_EP_std:lag6,-0.394,-0.281,-0.3603,-0.4602,-0.1345
finbert_FS_mean,0.3436,0.2683,0.0146,0.4619,0.1661
roberta_IS_std:lag1,0.2845,0.26,-0.0281,0.5002,0.2129
finbert_QA_std:lag2,-0.3076,-0.2582,-0.1522,-0.3858,-0.1871
finbert_QA_MP_std:lag14,-0.0954,-0.251,-0.065,-0.2558,-0.305
roberta_QA_EP_mean:lag10,0.2392,0.2499,0.2546,0.3131,0.2309
roberta_mean:lag4,0.2305,0.2443,-0.6603,0.7737,0.22
roberta_MP_min:lag1,-0.3182,-0.2432,-0.4083,-0.3585,-0.1375
roberta_EP_std:lag10,0.3097,0.243,0.6435,0.1178,0.1647
roberta_QA_mean:lag4,0.1938,0.2351,-0.4077,0.6005,0.2149
finbert_IS_MP_max,0.4673,0.2347,0.2899,0.6371,0.1045
finbert_EP_min:lag3,0.3119,0.2316,-0.1731,0.6038,0.1685
finbert_FS_min:lag4,0.3711,0.2311,0.301,0.3894,0.0658
roberta_FS_std:lag15,0.1891,0.223,0.5115,-0.217,0.1934
